boil	rather	lay	hurt	nut	spout	hammer	different
break	until	switch	lid	phone	settle	wagon	lay
change	extra	bone	salmon	cake	milk	strong	coal
dry	jump	middle	toe	feel	strong	meat	all_gone
fill	pile	lion	hurry	petrol	pick	Christmas	mind
finish	are	decide	should	switch	behave	could	Dan_horse
lose	all_gone	last	cog	bury	tire	even	heavy
open	cheek	screw	afternoon	surf	red	here's	breakdown
roll	alive	stout	school	star	sore	museum	child
stop	run	last	Small_Bill	Becky	dog	our	turn
turn	show	dirty	excuse	gentle	let	help	Mister_shop_keeper
